"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MGNX","MacroGenics, Inc.","31.87","$955.1M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mgnx",
"MCBK","Madison County Financial, Inc.","21.7","$64.38M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/mcbk",
"MAGS","Magal Security Systems Ltd.","4.95","$80.53M","1993","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/mags",
"MGLN","Magellan Health, Inc.","70.37","$1.92B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/mgln",
"MPET","Magellan Petroleum Corporation","0.53","$24.22M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpet",
"MGIC","Magic Software Enterprises Ltd.","6.44","$284.48M","1991","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mgic",
"CALL","magicJack VocalTec Ltd","6.69","$119.54M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/call",
"MNGA","MagneGas Corporation","0.66","$24.76M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mnga",
"MAG","Magnetek, Inc.","38.0001","$137.11M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mag",
"MGYR","Magyar Bancorp, Inc.","8.6001","$50.01M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/mgyr",
"MHLD","Maiden Holdings, Ltd.","14.8","$1.08B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mhld",
"MHLDO","Maiden Holdings, Ltd.","52.62","$173.65M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mhldo",
"MSFG","MainSource Financial Group, Inc.","19.89","$431.07M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/msfg",
"COOL","Majesco Entertainment Company","1.26","$8.94M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cool",
"MMYT","MakeMyTrip Limited","21.97","$915.67M","2010","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/mmyt",
"MBUU","Malibu Boats, Inc.","21.64","$321.98M","2014","Capital Goods","Marine Transportation","http://www.nasdaq.com/symbol/mbuu",
"MLVF","Malvern Bancorp, Inc.","13.4","$87.88M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/mlvf",
"MAMS","MAM Software Group, Inc.","5.402","$77.24M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mams",
"MANH","Manhattan Associates, Inc.","54.65","$4.03B","1998","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/manh",
